iter	Passed	Remaining
663	5610	2838
664	5618	2830
665	5626	2821
666	5634	2813
667	5642	2804
668	5651	2796
669	5659	2787
670	5667	2778
671	5675	2770
672	5683	2761
673	5691	2752
674	5699	2744
675	5707	2735
676	5715	2726
677	5722	2717
678	5730	2709
679	5738	2700
680	5746	2691
681	5755	2683
682	5762	2674
683	5770	2666
684	5778	2657
685	5786	2648
686	5794	2640
687	5802	2631
688	5810	2622
689	5819	2614
690	5826	2605
691	5834	2597
692	5843	2588
693	5851	2579
694	5859	2571
695	5867	2562
696	5875	2554
697	5883	2545
698	5891	2536
699	5899	2528
700	5907	2519
701	5915	2511
702	5923	2502
703	5931	2493
704	5939	2485
705	5947	2476
706	5954	2467
707	5962	2459
708	5970	2450
709	5978	2442
710	5986	2433
711	5994	2424
712	6003	2416
713	6011	2407
714	6019	2399
715	6027	2390
716	6035	2382
717	6043	2373
718	6050	2364
719	6058	2355
720	6068	2348
721	6076	2339
722	6086	2331
723	6092	2322
724	6097	2313
725	6103	2303
726	6109	2294
727	6117	2285
728	6123	2276
729	6130	2267
730	6138	2258
731	6150	2251
732	6157	2243
733	6167	2235
734	6175	2226
735	6184	2218
736	6192	2209
737	6200	2201
738	6207	2192
739	6215	2183
740	6226	2176
741	6234	2167
742	6243	2159
743	6251	2151
744	6259	2142
745	6267	2133
746	6275	2125
747	6283	2116
748	6291	2108
749	6299	2099
750	6308	2091
751	6316	2082
752	6323	2074
753	6331	2065
754	6340	2057
755	6348	2048
756	6356	2040
757	6364	2031
758	6372	2023
759	6379	2014
760	6387	2006
761	6395	1997
762	6404	1989
763	6412	1980
764	6419	1972
765	6427	1963
766	6436	1955
767	6444	1946
768	6452	1938
769	6460	1929
770	6468	1921
771	6476	1912
772	6484	1904
773	6492	1895
774	6500	1887
775	6509	1878
776	6518	1870
777	6527	1862
778	6535	1854
779	6543	1845
780	6552	1837
781	6561	1829
782	6568	1820
783	6576	1811
784	6585	1803
785	6593	1795
786	6602	1786
787	6610	1778
788	6619	1770
789	6630	1762
790	6639	1754
791	6647	1745
792	6657	1737
